Name,Ticker,Sektor,Branche,Land,Liste,Aktiv
NextEra Energy,NEE,Utilities,Utilities - Regulated Electric,USA,Benchmark,1
Novartis,NOVN.SW,Healthcare,Drug Manufacturers - General,Switzerland,Benchmark,1
Novo Nordisk,NOVO-B.CO,Healthcare,Drug Manufacturers - General,Denmark,Benchmark,1
Oracle,ORCL,Technology,Software Infrastructure,USA,Benchmark,1
Orange,ORA.PA,Communication Services,Telecom Services,France,Benchmark,1
PepsiCo,PEP,Consumer Defensive,Beverages - Non-Alcoholic,USA,Benchmark,1
Procter & Gamble,PG,Consumer Defensive,Household & Personal Products,USA,Benchmark,1
Prologis,PLD,Real Estate,REIT - Industrial,USA,Benchmark,1
Qiagen N.V.,QIA.DE,Healthcare,Diagnostics & Research,Netherlands,DAX,
RWE,RWE.DE,Utilities,Utilities - Renewable,Germany,Benchmark;DAX,1
Realty Income,O,Real Estate,REIT - Retail,USA,Benchmark,1
Republic Services,RSG,Industrials,Waste Management,USA,Benchmark,1
Rheinmetall AG,RHM.DE,Industrials,Aerospace & Defense,Germany,DAX,
Rio Tinto,RIO,Basic Materials,Industrial Metals & Mining,United Kingdom,Benchmark,1
Roche,RO.SW,Healthcare,Drug Manufacturers - General,Switzerland,Benchmark,1
Rollins,ROL,Industrials,Specialty Business Services,USA,Benchmark,1
S&P Global,SPGI,Financial Services,Financial Data & Stock Exchanges,USA,Benchmark,1
SAP,SAP.DE,Technology,Software,Germany,Benchmark;DAX,1
Salesforce,CRM,Technology,Software,USA,Benchmark,1
Schneider Electric,SU.PA,Industrials,Electrical Equipment,France,Benchmark,1
Scout24 SE,G24.DE,Communication Services,Internet Content & Information,Germany,DAX,
ServiceNow,NOW,Technology,Software,USA,Benchmark,1
Shell,SHEL,Energy,Oil & Gas Integrated,United Kingdom,Benchmark,1
Sherwin-Williams,SHW,Basic Materials,Specialty Chemicals,USA,Benchmark,1
Siemens,SIE.DE,Industrials,Specialty Industrial Machinery,Germany,Benchmark;DAX,1
Siemens Energy AG,ENR.DE,Industrials,Specialty Industrial Machinery,Germany,DAX,
Siemens Healthineers,SHL.DE,Healthcare,Medical Devices,Germany,Benchmark;DAX,1
Simon Property Group,SPG,Real Estate,REIT - Retail,USA,Benchmark,1
Stryker,SYK,Healthcare,Medical Devices,USA,Benchmark,1
Symrise AG,SY1.DE,Basic Materials,Specialty Chemicals,Germany,DAX,
Synopsys,SNPS,Technology,Software,USA,Benchmark,1
Taiwan Semiconductor,TSM,Technology,Semiconductors,Taiwan,Benchmark,1
Thermo Fisher Scientific,TMO,Healthcare,Diagnostics & Research,USA,Benchmark,1
TotalEnergies,TTE.PA,Energy,Oil & Gas Integrated,France,Benchmark,1
Union Pacific,UNP,Industrials,Railroads,USA,Benchmark,1
Vallourec,VACD.F,Basic Materials,Steel,France,Benchmark,1
Verizon,VZ,Communication Services,Telecom Services,USA,Benchmark,1
Vinci,DG.PA,Industrials,Engineering & Construction,France,Benchmark,1
Visa,V,Financial Services,Credit Services,USA,Benchmark,1
Volkswagen AG,VOW3.DE,Consumer Cyclical,Auto Manufacturers,Germany,DAX,
Vonovia SE,VNA.DE,Real Estate,Real Estate Services,Germany,DAX,
Waste Management,WM,Industrials,Waste Management,USA,Benchmark,1
Zalando SE,ZAL.DE,Consumer Cyclical,Internet Retail,Germany,DAX,
adidas AG,ADS.DE,Consumer Cyclical,Footwear & Accessories,Germany,DAX,
Legal & General Group,LGEN.L,Financial Services,Asset Management,United Kingdom,Benchmark,1
