Jahr;Damodaran_Branche;Trailing_KGV;Forward_KGV
2015;Advertising;30.34991275950363;27.524427784699913
2015;Aerospace/Defense;31.14651593527499;30.907495587475797
2015;Air Transport;28.107377642706137;14.418413170031178
2015;Apparel;27.81937268789272;23.92559645772038
2015;Auto & Truck;15.063005589562412;29.568844280310817
2015;Auto Parts;20.351435247449594;16.56610294673099
2015;Bank (Money Center);17.260856638667185;14.782697774397166
2015;Banks (Regional);47.60195097818428;16.81415788886514
2015;Beverage (Alcoholic);32.93415750816666;27.464563481536377
2015;Beverage (Soft);36.735952428100845;30.439700501466373
2015;Broadcasting;24.78747985473892;19.54566566849629
2015;Brokerage & Investment Banking;33.181104185934075;21.568123401297125
2015;Building Materials;32.82821496697679;23.835493718645026
2015;Business & Consumer Services;91.6679217574868;27.277480730547204
2015;Cable TV;55.66834274999;51.20413620142799
2015;Chemical (Basic);35.40381336944377;14.366204474488953
2015;Chemical (Diversified);18.396311322106037;14.369846511880947
2015;Chemical (Specialty);23.730990739641;23.71249054000941
2015;Coal & Related Energy;11.39652513310583;38.17231445501562
2015;Computer Services;21.257996103527084;32.12501719019244
2015;Computers/Peripherals;47.1298150091576;22.869935799632593
2015;Construction Supplies;24.732412780630476;16.770057015633004
2015;Diversified;22.779424759066323;26.24053230225586
2015;Drugs (Biotechnology);223.0220951589564;42.476835165516505
2015;Drugs (Pharmaceutical);49.12735876497275;44.5148399552261
2015;Education;1476.1006461646762;43.94391375043799
2015;Electrical Equipment;28.83510236059471;29.41285817230315
2015;Electronics (Consumer & Office);53.39499071498319;25.93683543551365
2015;Electronics (General);59.062837444925485;44.271378974143715
2015;Engineering/Construction;26.668745070787217;16.728995239241737
2015;Entertainment;41.746503537682216;45.615066872274454
2015;Environmental & Waste Services;63.60706314846899;53.073037667928205
2015;Farming/Agriculture;30.172576970330223;25.35090094318073
2015;Financial Svcs. (Non-bank & Insurance);66.14080141012536;19.510393638250317
2015;Food Processing;26.865194392325055;22.96503357427432
2015;Food Wholesalers;29.917006449086053;20.951582746896225
2015;Furn/Home Furnishings;24.80906719251631;17.46741704046232
2015;Green & Renewable Energy;20.9773760830748;29.19999510732624
2015;Healthcare Products;76.44867612164965;77.9903259063771
2015;Healthcare Support Services;60.09855162262106;26.04666585511628
2015;Heathcare Information and Technology;254.40404321723776;33.32326166831592
2015;Homebuilding;22.846371659232904;20.695915643300214
2015;Hospitals/Healthcare Facilities;52.8861987961272;29.64063749246712
2015;Hotel/Gaming;28.370222400583277;26.355735476068173
2015;Household Products;67.11068725063762;19.204247677235735
2015;Information Services;50.40163917043488;18.171382558998697
2015;Insurance (General);43.71555925114866;16.546394412728546
2015;Insurance (Life);20.030632186556993;16.77149811855493
